suburb,address,type,price,date_sold,zipcode,bedrooms,bathrooms,car_garage,sqft_living,year_built,latitude,longitude
Airport West,1/41 Hillside Gr,t,276000.0,06/2016,3042.0,,,,,,,
Airport West,3/7 South Rd,t,324000.0,06/2016,3042.0,2.0,2.0,1.0,161.0,2010.0,-37.7231,144.8802
Airport West,37 North St,t,495000.0,11/2016,3042.0,3.0,2.0,1.0,293.0,1960.0,-37.72,144.8776
Airport West,10 Hilbert Rd,h,411000.0,05/2016,3042.0,3.0,1.0,1.0,579.0,1975.0,-37.7226,144.8733
Airport West,7/42 York St,u,267000.0,05/2016,3042.0,,,,,,,
Airport West,110 Halsey Rd,h,483000.0,08/2016,3042.0,3.0,1.0,1.0,623.0,,-37.7184,144.882
Airport West,2/13 North St,u,306000.0,08/2016,3042.0,2.0,1.0,1.0,141.0,,-37.7202,144.8797
Airport West,105a Victory Rd,h,367200.0,08/2016,3042.0,3.0,2.0,1.0,212.0,,-37.7181,144.8824
Airport West,117 Marshall Rd,h,397200.0,04/2016,3042.0,3.0,1.0,2.0,612.0,,-37.7169,144.8815
Airport West,34 Moorna Dr,h,586800.0,09/2016,3042.0,4.0,3.0,2.0,532.0,,-37.7263,144.869
Airport West,33 North St,h,432000.0,02/2017,3042.0,3.0,1.0,1.0,585.0,,-37.72,144.878
Airport West,4/40 McNamara Av,u,284400.0,07/2016,3042.0,,,,,,,
Airport West,5/93 McNamara Av,t,294000.0,07/2016,3042.0,,,,,,,
Airport West,2/137 McNamara Av,h,243000.0,06/2016,3042.0,,,,,,,
Airport West,1/46 Bowes Av,t,429000.0,11/2016,3042.0,,,,,,,
Airport West,1/34 Elstone Av,u,402900.0,11/2016,3042.0,,,,,,,
Airport West,49 Roberts Rd,h,459000.0,11/2016,3042.0,4.0,1.0,2.0,509.0,,-37.7261,144.8785
Airport West,85 Roberts Rd,h,540000.0,11/2016,3042.0,4.0,2.0,3.0,628.0,1975.0,-37.7256,144.8739
Airport West,22a Walters Av,u,492000.0,08/2016,3042.0,,,,,,,
Airport West,1/145 Parer Rd,u,390000.0,07/2016,3042.0,,,,,,,
Airport West,3/35 Walters Av,t,331200.0,07/2016,3042.0,,,,,,,
Albert Park,105 Kerferd Rd,h,765000.0,09/2016,3206.0,2.0,1.0,0.0,120.0,1900.0,-37.8459,144.9555
Albert Park,85 Richardson St,h,873000.0,09/2016,3206.0,2.0,1.0,0.0,159.0,,-37.845,144.9538
Albert Park,112 Beaconsfield Pde,h,1710000.0,03/2017,3206.0,3.0,2.0,0.0,211.0,1890.0,-37.8481,144.9499
Albert Park,94 Graham St,h,1110000.0,03/2017,3206.0,3.0,2.0,0.0,128.0,1890.0,-37.8452,144.9488
Albert Park,396 Montague St,h,861600.0,03/2017,3206.0,2.0,1.0,0.0,130.0,1900.0,-37.8431,144.9565
Albert Park,75 Graham St,h,666000.0,08/2016,3206.0,1.0,1.0,0.0,147.0,1900.0,-37.8444,144.9484
Albert Park,54 Brooke St,h,930000.0,05/2016,3206.0,2.0,1.0,1.0,167.0,,-37.8405,144.9521
Albert Park,104 Richardson St,h,1380000.0,05/2016,3206.0,4.0,2.0,1.0,153.0,1880.0,-37.8447,144.9523
Albert Park,4a Mills St,t,930000.0,11/2016,3206.0,3.0,2.0,2.0,718.0,,-37.8443,144.9598
Albert Park,1 Moubray St,h,1080000.0,11/2016,3206.0,3.0,2.0,1.0,132.0,1996.0,-37.8415,144.952
Albert Park,114 Victoria Av,h,1491000.0,10/2016,3206.0,,,,,,,
Albert Park,29 Faussett St,h,1272000.0,09/2016,3206.0,2.0,1.0,1.0,199.0,1900.0,-37.8422,144.9554
Albert Park,3 Herbert St,h,1080000.0,09/2016,3206.0,3.0,1.0,1.0,253.0,,-37.8443,144.9579
Albert Park,24 Kerferd Pl,h,1080000.0,09/2016,3206.0,3.0,2.0,1.0,90.0,1900.0,-37.8421,144.9571
Albert Park,44 Draper St,h,1086000.0,12/2016,3206.0,2.0,1.0,0.0,240.0,,-37.8379,144.9539
Albert Park,2 Dundas Pl,h,1569000.0,12/2016,3206.0,3.0,2.0,1.0,177.0,1880.0,-37.8415,144.9585
Albert Park,23 Finlay St,h,1260000.0,12/2016,3206.0,5.0,2.0,1.0,237.0,,-37.8436,144.9557
Albert Park,31 Richardson St,h,780000.0,12/2016,3206.0,3.0,1.0,0.0,129.0,,-37.8422,144.949
Albert Park,4a Gatehouse La,h,822000.0,06/2016,3206.0,3.0,2.0,2.0,0.0,2000.0,-37.8451,144.9511
Albert Park,60 Brooke St,h,600000.0,11/2016,3206.0,2.0,1.0,0.0,288.0,,-37.8407,144.9523
Albert Park,70 Barrett St,h,1545000.0,10/2016,3206.0,3.0,2.0,1.0,228.0,,-37.8445,144.9501
Albert Park,65 Graham St,h,793500.0,10/2016,3206.0,2.0,1.0,0.0,149.0,1890.0,-37.8443,144.9481
Albert Park,364 Montague St,h,937500.0,10/2016,3206.0,2.0,1.0,0.0,141.0,1890.0,-37.8424,144.9562
Albert Park,86 Mills St,h,1200000.0,04/2016,3206.0,3.0,2.0,1.0,211.0,1900.0,-37.847,144.9575
Albert Park,129 Kerferd Rd,h,1140000.0,03/2017,3206.0,3.0,1.0,0.0,209.0,1900.0,-37.8468,144.9546
Albert Park,97 Page St,h,1806000.0,03/2017,3206.0,3.0,2.0,0.0,147.0,1890.0,-37.8473,144.9551
Albert Park,55 Withers St,h,1680000.0,06/2016,3206.0,4.0,3.0,1.0,327.0,1910.0,-37.8467,144.9475
Albert Park,10/140 Kerferd Rd,u,388200.0,05/2016,3206.0,2.0,1.0,1.0,0.0,,-37.846,144.9542
Albert Park,55 Merton St,h,1260000.0,04/2016,3206.0,2.0,1.0,1.0,120.0,1900.0,-37.8427,144.9546
Albert Park,49 Page St,h,1200000.0,09/2016,3206.0,3.0,1.0,1.0,238.0,1890.0,-37.8461,144.9528
Albert Park,13/52 Moubray St,u,265500.0,02/2017,3206.0,1.0,1.0,0.0,0.0,1970.0,-37.8421,144.9517
Albert Park,115 Page St,h,2841000.0,02/2017,3206.0,4.0,2.0,1.0,330.0,1910.0,-37.8477,144.9558
Albert Park,32 Page St,h,804000.0,02/2017,3206.0,2.0,1.0,0.0,136.0,,-37.846,144.9517
Albert Park,34 Richardson St,h,1080600.0,02/2017,3206.0,3.0,1.0,1.0,202.0,,-37.8429,144.9493
Albert Park,2b Dundas Pl,h,919200.0,07/2016,3206.0,3.0,3.0,1.0,0.0,,-37.8415,144.9585
Albert Park,22 Greig St,h,2253000.0,07/2016,3206.0,3.0,2.0,2.0,325.0,,-37.8413,144.95
Albert Park,27 Barrett St,h,1284000.0,06/2016,3206.0,3.0,2.0,1.0,183.0,1880.0,-37.8434,144.9495
Albert Park,3 Faussett St,u,1086000.0,06/2016,3206.0,,,,,,,
Albert Park,44 Greig St,h,1050000.0,11/2016,3206.0,2.0,1.0,1.0,162.0,,-37.8416,144.9488
Albert Park,6 Brooke St,h,588000.0,05/2016,3206.0,2.0,1.0,0.0,79.0,1890.0,-37.8387,144.9519
Albert Park,227a Danks St,h,1218000.0,08/2016,3206.0,3.0,2.0,0.0,152.0,,-37.8488,144.9551
Albert Park,17 Reed St,h,1044000.0,08/2016,3206.0,3.0,2.0,2.0,147.0,1890.0,-37.8448,144.9453
Albert Park,74 Bridport St,h,1680000.0,07/2016,3206.0,3.0,3.0,1.0,0.0,,-37.8399,144.9577
Albert Park,9 Durham St,h,591000.0,07/2016,3206.0,1.0,1.0,0.0,81.0,1900.0,-37.8411,144.9497
Alphington,6 Smith St,h,1200000.0,09/2016,3078.0,3.0,2.0,4.0,853.0,1930.0,-37.7707,145.0318
Alphington,5/6 Yarralea St,h,666000.0,09/2016,3078.0,3.0,2.0,2.0,208.0,2013.0,-37.7854,145.0325
Alphington,136A Fulham Rd,h,895200.0,03/2017,3078.0,3.0,2.0,2.0,411.0,,-37.7713,145.0279
Alphington,1/9 Roemer Cr,u,288000.0,05/2016,3078.0,,,,,,,
Alphington,2/21 Fulham Rd,t,782400.0,10/2016,3078.0,,,,,,,
Alphington,44 Shiers St,h,1030500.0,10/2016,3078.0,4.0,2.0,1.0,599.0,1925.0,-37.7717,145.031
Alphington,83 Fulham Rd,h,1704000.0,06/2016,3078.0,5.0,4.0,4.0,809.0,1910.0,-37.775,145.0268
Alphington,3/19 Harker St,u,315300.0,11/2016,3078.0,2.0,1.0,1.0,88.0,1960.0,-37.7791,145.0306
Alphington,4/2 Miller St,t,483000.0,11/2016,3078.0,2.0,2.0,3.0,155.0,2004.0,-37.7804,145.0308
Alphington,2/5 Yarana Rd,u,279000.0,11/2016,3078.0,2.0,1.0,1.0,0.0,,-37.7773,145.0314
Alphington,69 Lucerne Cr,h,888000.0,08/2016,3078.0,,,,,,,
Alphington,815 Heidelberg Rd,h,1200000.0,10/2016,3078.0,3.0,3.0,2.0,686.0,,-37.78,145.0341
Alphington,44 Naroon Rd,h,924000.0,04/2016,3078.0,3.0,1.0,2.0,592.0,,-37.7755,145.0288
Alphington,1/17 Rex Av,u,354000.0,09/2016,3078.0,,,,,,,
Alphington,3/98 Grange Rd,u,492000.0,03/2017,3078.0,2.0,1.0,1.0,183.0,,-37.7747,145.0264
Alphington,10 Bennett St,h,1098000.0,11/2016,3078.0,4.0,2.0,2.0,606.0,1970.0,-37.7743,145.0316
Alphington,38 Bennett St,h,1260000.0,11/2016,3078.0,4.0,2.0,2.0,575.0,2008.0,-37.7723,145.0319
Alphington,2c Hamilton St,h,519000.0,05/2016,3078.0,3.0,1.0,1.0,180.0,2010.0,-37.7802,145.0243
Alphington,5/5 Yarana Rd,u,234000.0,05/2016,3078.0,2.0,1.0,1.0,0.0,1960.0,-37.7773,145.0314
Alphington,7/7 Chandler Hwy,t,390000.0,09/2016,3078.0,0.0,1.0,0.0,0.0,,-37.7848,145.025
Alphington,1/14 Fulham Rd,u,307200.0,02/2017,3078.0,2.0,1.0,1.0,0.0,1965.0,-37.7805,145.0262
Alphington,17 Lowther St,h,816600.0,02/2017,3078.0,,,,,,-37.7796,145.0285
Alphington,13a Fulham Rd,h,786000.0,07/2016,3078.0,,,,,,,
Alphington,32/23 Coate Av,h,342000.0,06/2016,3078.0,,,,,,,
Alphington,22 Lowther St,h,699000.0,06/2016,3078.0,3.0,1.0,2.0,979.0,,-37.7792,145.029
Alphington,6/11 Broomfield Av,u,318000.0,11/2016,3078.0,,,,,,,
Alphington,11 Margaret Gr,h,1140000.0,11/2016,3078.0,4.0,2.0,2.0,556.0,1930.0,-37.7844,145.0225
Alphington,6 Naroon Rd,h,891000.0,08/2016,3078.0,3.0,0.0,0.0,597.0,,-37.7781,145.0284
Alphington,42 Shiers St,h,1170000.0,07/2016,3078.0,4.0,2.0,3.0,589.0,1920.0,-37.7719,145.0309
Altona,158 Queen St,h,312000.0,09/2016,3018.0,3.0,2.0,1.0,352.0,2015.0,-37.87,144.825
Altona,59 Bracken Gr,h,915000.0,12/2016,3018.0,5.0,3.0,3.0,729.0,2005.0,-37.8721,144.8105
Altona,1/123 Blyth St,t,432000.0,02/2016,3018.0,2.0,1.0,2.0,292.0,2013.0,-37.8687,144.8197
Altona,4 Blyth St,h,672000.0,03/2017,3018.0,3.0,1.0,2.0,506.0,1930.0,-37.8693,144.8375
Altona,20 Linnet St,h,468000.0,06/2016,3018.0,4.0,1.0,4.0,655.0,,-37.868,144.8154
Altona,29 Rose St,h,1068000.0,06/2016,3018.0,4.0,3.0,6.0,1057.0,1962.0,-37.8681,144.819
Altona,1/170 Blyth St,u,378000.0,08/2016,3018.0,2.0,1.0,2.0,311.0,1955.0,-37.8702,144.8143
Altona,5/35 Grieve Pde,u,243600.0,08/2016,3018.0,2.0,1.0,1.0,65.0,,-37.8693,144.8171
Altona,156 Maidstone St,h,396000.0,05/2016,3018.0,3.0,1.0,1.0,602.0,1955.0,-37.8616,144.8116
Altona,11 Keeshan Ct,h,410100.0,11/2016,3018.0,3.0,1.0,1.0,530.0,,-37.8594,144.817
Altona,1/4 Deavey Ct,u,324000.0,10/2016,3018.0,,,,,,,
Altona,1/136 Queen St,u,348000.0,10/2016,3018.0,2.0,1.0,1.0,225.0,1988.0,-37.8696,144.827
Altona,173 Queen St,h,801000.0,10/2016,3018.0,3.0,1.0,4.0,777.0,1953.0,-37.8697,144.8249
Altona,1/265 Queen St,t,480000.0,10/2016,3018.0,3.0,2.0,2.0,280.0,1997.0,-37.8734,144.8143
Altona,3/26 Grieve Pde,u,306000.0,09/2016,3018.0,2.0,1.0,1.0,127.0,1990.0,-37.8686,144.8182
Altona,261 Queen St,h,642000.0,09/2016,3018.0,4.0,2.0,2.0,695.0,,-37.8733,144.8147
Altona,4/5 Rose St,u,255000.0,09/2016,3018.0,2.0,1.0,2.0,115.0,1980.0,-37.871,144.8185
Altona,1/60 David St,u,363000.0,12/2016,3018.0,3.0,2.0,2.0,230.0,,-37.8646,144.827
Altona,1A Merritt Ct,t,423000.0,02/2017,3018.0,3.0,2.0,2.0,197.0,,-37.8579,144.8181
Altona,4/31 Millers Rd,u,234600.0,02/2017,3018.0,2.0,1.0,1.0,0.0,1965.0,-37.8678,144.8384
Altona,111/112 Pier St,u,264000.0,02/2017,3018.0,2.0,1.0,1.0,0.0,,-37.8659,144.831
Altona,24 Wren St,h,507000.0,02/2017,3018.0,4.0,1.0,2.0,745.0,1950.0,-37.8658,144.8155
Altona,54 Seves St,h,459600.0,03/2017,3018.0,,,,,,,
Altona,1/152 Blyth St,t,445800.0,11/2016,3018.0,3.0,2.0,2.0,211.0,,-37.8698,144.816
Altona,2/6 Galvin St,t,390000.0,11/2016,3018.0,,,,,,,
Altona,4/57 Blyth St,u,438000.0,08/2016,3018.0,3.0,2.0,1.0,69.0,2014.0,-37.868,144.8286
Altona,10 Wilga Av,t,549900.0,08/2016,3018.0,,,,,,,
Altona,164 Maidstone St,h,381000.0,05/2016,3018.0,3.0,1.0,4.0,625.0,1960.0,-37.8611,144.8114
Altona,3/25 Rayner St,u,372000.0,05/2016,3018.0,2.0,1.0,1.0,168.0,,-37.8676,144.8202
Altona,3/46 Sargood St,u,268200.0,10/2016,3018.0,2.0,1.0,1.0,137.0,1990.0,-37.8655,144.8299
Altona,1/57 Blyth St,u,438000.0,04/2016,3018.0,3.0,2.0,1.0,70.0,,-37.868,144.8287
Altona,22 Fenfield St,h,406800.0,04/2016,3018.0,3.0,1.0,2.0,606.0,1950.0,-37.8608,144.8124
Altona,5/8 David St,u,348000.0,07/2016,3018.0,2.0,2.0,1.0,175.0,2013.0,-37.8687,144.8268
Altona,1/28 Seves St,h,427200.0,09/2016,3018.0,3.0,1.0,2.0,363.0,,-37.8674,144.8375
Altona,27 McIntyre Dr,h,504000.0,03/2017,3018.0,3.0,2.0,2.0,534.0,1965.0,-37.86,144.8245
Altona,4 Boyd St,h,588000.0,11/2016,3018.0,3.0,1.0,2.0,724.0,,-37.8672,144.817
Altona,5a Emu Av,h,600000.0,11/2016,3018.0,,,,,,,
Altona,12 Spear Ct,t,363060.0,05/2016,3018.0,3.0,2.0,0.0,265.0,,-37.8583,144.8172
Altona,185 Queen St,h,528000.0,08/2016,3018.0,3.0,3.0,1.0,577.0,,-37.8699,144.8235
Altona,3/20 Mulga St,u,346200.0,04/2016,3018.0,3.0,2.0,1.0,205.0,2007.0,-37.8684,144.815
Altona,51 Millers Rd,h,618000.0,02/2017,3018.0,4.0,1.0,0.0,797.0,,-37.8663,144.8387
Altona,2/119 Railway St N,u,363000.0,02/2017,3018.0,3.0,1.0,2.0,181.0,,-37.8659,144.822
Altona,12 Ransom Av,h,411000.0,02/2017,3018.0,,,,,,,
Altona,24 McIntyre Dr,h,451800.0,06/2016,3018.0,3.0,2.0,2.0,529.0,,-37.8612,144.8247
Altona,104 Maidstone St,h,514200.0,11/2016,3018.0,2.0,2.0,1.0,675.0,1950.0,-37.8653,144.8129
Altona,49 Bent St,h,900000.0,05/2016,3018.0,3.0,1.0,1.0,929.0,,-37.8651,144.832
Altona,5/57 Blyth St,u,438000.0,05/2016,3018.0,3.0,2.0,1.0,70.0,2014.0,-37.868,144.8285
Altona,15 Kookaburra St,h,540000.0,05/2016,3018.0,3.0,1.0,4.0,697.0,,-37.871,144.8075
Altona,219 Civic Pde,h,444000.0,08/2016,3018.0,3.0,1.0,2.0,604.0,,-37.8631,144.8195
Altona,3 Curtin Ct,h,558600.0,08/2016,3018.0,4.0,2.0,3.0,532.0,1970.0,-37.8637,144.8365
Altona,2/60 David St,h,321360.0,07/2016,3018.0,2.0,1.0,1.0,154.0,1996.0,-37.8646,144.8272
Altona North,45 Hearn St,h,651000.0,09/2016,3025.0,5.0,3.0,6.0,592.0,1965.0,-37.8388,144.8567
Altona North,4 Knapp St,h,468600.0,09/2016,3025.0,3.0,1.0,2.0,533.0,1970.0,-37.8291,144.835
Altona North,103 Sixth Av,h,514500.0,09/2016,3025.0,,,,,,,
Altona North,80A Hansen St,h,576000.0,03/2017,3025.0,,,,,,,
