address,suburb,price,bedrooms,bathrooms,car_garage,sqft_lot,sqft_living,year_built,date_sold,zipcode,latitude,longitude
1 Beach Street,Bicton,1950000,5,2,2.0,855,305,1981.0,10/2018,6157,-32.02366,115.78189
1 Beacon Way,Singleton,420000,4,2,2.0,600,295,2006.0,01/2015,6175,-32.434584,115.758448
1 Beenan Elbow,South Guildford,347500,3,1,3.0,452,88,,08/2018,6055,-31.90698,115.98698
1 Belfry Way,Wattle Grove,492000,4,2,2.0,459,250,2012.0,11/2017,6107,-32.00415385,115.9949594
1 Bell Court,Armadale,201000,3,1,2.0,711,99,1985.0,02/2019,6112,-32.164115,116.0083927
1 Bellata Place,Kenwick,275000,3,1,1.0,570,108,1996.0,04/2018,6107,-32.03406,115.99137
1 Bellier Place,Hamilton Hill,410000,4,2,1.0,808,155,1983.0,12/2019,6163,-32.08948,115.78811
1 Belmont Close,Port Kennedy,315000,4,2,2.0,550,127,1999.0,12/2020,6172,-32.36259,115.7517
1 Belvedere Rise,Roleystone,795000,4,3,6.0,2095,254,,10/2017,6111,-32.11535746,116.0748618
1 Benowa Drive,Glen Forrest,600000,4,2,4.0,2028,222,1988.0,08/2015,6071,-31.91039,116.10841
1 Bianco Place,Secret Harbour,400000,4,2,2.0,672,186,2002.0,09/2019,6173,-32.39686,115.75637
1 Bignell Place,Herne Hill,350000,3,1,2.0,797,177,1974.0,08/2013,6056,-31.82521,116.02121
1 Bindoon Close,Gwelup,835000,4,2,2.0,480,170,1998.0,06/2016,6018,-31.86994,115.79768
1 Binnia Mews,Harrisdale,482000,4,2,2.0,469,152,2008.0,11/2020,6112,-32.11598945,115.9173273
1 Binns Court,North Fremantle,1260000,3,3,2.0,354,227,2000.0,11/2016,6159,-32.02689,115.75382
1 Bishops Close,Quinns Rocks,405000,3,2,4.0,781,156,1989.0,03/2019,6030,-31.66895,115.70455
1 Bittern Close,Maida Vale,465000,3,2,2.0,620,143,2002.0,07/2019,6057,-31.95549,116.01601
1 Blato Place,Spearwood,560000,5,2,2.0,592,168,1996.0,12/2018,6163,-32.11658806,115.7790863
1 Bohemia Way,Parkwood,380000,3,1,2.0,979,122,1978.0,05/2016,6147,-32.0459,115.90519
1 Boncath Road,Butler,360000,3,2,2.0,397,130,2006.0,12/2020,6036,-31.638689,115.700206
1 Bonita Way,Tapping,540000,4,2,2.0,641,221,2005.0,03/2018,6065,-31.71607737,115.7997715
1 Boronia Court,Thornlie,420000,3,2,2.0,680,163,1991.0,06/2020,6108,-32.07705,115.94632
1 Borough Road,Baldivis,330000,4,2,2.0,495,171,2011.0,12/2020,6171,-32.36170962,115.8136691
1 Bourke Street,Kensington,705000,3,1,6.0,774,132,1952.0,10/2017,6151,-31.98792,115.88137
1 Bowood Cove,Kiara,615000,4,2,2.0,818,247,1994.0,03/2016,6054,-31.88124,115.93878
1 Bradbury Road,Hamilton Hill,565000,3,2,2.0,775,151,1960.0,05/2020,6163,-32.07693,115.78611
1 Bradford Street,Menora,850000,3,1,1.0,917,120,1959.0,10/2013,6050,-31.92056,115.86557
1 Bradstocks Grove,Southern River,780000,4,2,2.0,447,305,2015.0,09/2018,6110,-32.0993486,115.9525676
1 Bramley Way,Bibra Lake,520000,3,3,2.0,358,154,2001.0,03/2018,6163,-32.10379,115.82631
1 Brassey Street,Swanbourne,1100000,3,1,1.0,619,150,1945.0,12/2016,6010,-31.97685,115.76985
1 Brentwood Way,The Vines,590000,5,2,2.0,834,246,2004.0,03/2020,6069,-31.75123,116.00693
1 Brilliant Rise,Stratton,312000,4,2,3.0,561,101,1993.0,08/2018,6056,-31.86829,116.03838
1 Briston Place,North Beach,900000,3,2,3.0,372,213,2008.0,08/2016,6020,-31.86096794,115.7663678
1 Bristow Street,Haynes,177000,3,1,,412,150,2015.0,08/2013,6112,-32.15937438,115.9880817
1 Brittain Avenue,Madeley,580000,4,2,2.0,541,188,2004.0,07/2017,6065,-31.81185,115.8241
1 Brix Street,Wembley Downs,1310000,4,2,2.0,544,246,2010.0,07/2019,6019,-31.91782603,115.7766387
1 Brixton Road,Bentley,470000,3,2,2.0,295,110,1950.0,02/2018,6102,-32.00510024,115.9157517
1 Bruning Road,Manning,717000,3,2,2.0,578,176,1995.0,02/2018,6152,-32.00891,115.87138
1 Buckie Court,Warwick,650000,4,2,1.0,715,170,,08/2014,6024,-31.83908,115.79647
1 Bull Place,Queens Park,387000,4,1,4.0,380,114,1998.0,09/2018,6107,-32.00205721,115.941062
1 Bynder Lane,Medina,330000,3,2,2.0,233,111,2014.0,07/2015,6167,-32.23409592,115.8058854
1 Cabarita Road,Kalamunda,605000,2,1,,2578,180,1977.0,08/2020,6076,-31.98705,116.04769
1 Cadiz Way,Bullsbrook,380000,3,2,2.0,350,156,2016.0,06/2016,6084,-31.65843642,116.0411802
1 Caladenia Way,Koongamia,85000,2,1,2.0,828,117,1965.0,10/1998,6056,-31.90963,116.04061
1 Cam Court,Merriwa,345000,3,2,2.0,603,128,1992.0,06/2017,6030,-31.66719,115.71465
1 Camden Boulevard,Aubin Grove,528000,4,2,2.0,619,180,2008.0,03/2018,6164,-32.16854691,115.86785
1 Cameron Street,Karrinyup,1350000,4,1,5.0,802,266,2012.0,03/2018,6018,-31.87098262,115.7759589
1 Camira Place,Gooseberry Hill,735000,4,2,2.0,1940,223,1982.0,07/2015,6076,-31.95124,116.05696
1 Camrose Lane,Darch,442500,4,2,2.0,529,176,2005.0,11/2019,6065,-31.81372,115.85078
1 Canarias Way,Hillarys,1015000,3,2,2.0,500,312,2003.0,08/2018,6025,-31.81745,115.74223
1 Cannon Court,Alexander Heights,530000,3,2,4.0,771,200,1985.0,05/2016,6064,-31.83138,115.87381
1 Canny Road,St James,515000,3,1,2.0,688,90,1958.0,06/2019,6102,-31.99883,115.90544
1 Carnegie Road,Bassendean,1100000,4,2,4.0,1012,251,2005.0,11/2018,6054,-31.90763,115.9573
1 Carroll Street,Ardross,1265000,4,3,2.0,590,261,2005.0,02/2018,6153,-32.02499618,115.8306028
1 Cartland Court,Bedfordale,750000,4,3,2.0,4225,236,2003.0,08/2019,6112,-32.14722691,116.0560529
1 Caterpillar Road,Success,472500,4,2,4.0,446,147,2008.0,07/2018,6164,-32.15555254,115.8466171
1 Caxton Lane,Ballajura,392500,4,2,,532,185,,01/2019,6066,-31.84873764,115.9045034
1 Centaur Circle,Woodbridge,900000,4,2,2.0,454,263,,12/2008,6056,-31.8934,115.998
1 Cessford Close,Leda,380000,5,2,2.0,642,153,1994.0,04/2015,6170,-32.26303,115.80407
1 Challenger Avenue,Manning,590000,3,2,2.0,449,179,2001.0,04/2019,6152,-32.01232,115.87353
1 Chamberlain Circle,Bateman,835000,4,2,2.0,727,179,1985.0,11/2018,6150,-32.05318,115.85013
1 Charleston Road,Eglinton,495000,4,2,2.0,432,155,2015.0,02/2016,6034,-31.59475775,115.6689691
1 Chauvel Court,Kiara,390000,4,2,3.0,543,111,1994.0,06/2012,6054,-31.88496,115.94411
1 Chester Court,Orelia,280000,3,1,2.0,806,119,1970.0,03/2017,6167,-32.23786,115.82736
1 Chiddington Street,Beckenham,355000,3,1,2.0,953,140,1974.0,02/2017,6107,-32.02907099,115.9661741
1 Chipala Court,Edgewater,465000,4,2,4.0,697,160,1987.0,01/2016,6027,-31.77422523,115.7911066
1 Citrus Loop,South Lake,372000,3,2,2.0,402,135,,01/2020,6164,-32.10493,115.83043
1 Claret Ash Court,Helena Valley,685000,4,2,2.0,1012,180,1994.0,04/2015,6056,-31.91358,116.02843
1 Clarke Street,East Cannington,360000,3,2,2.0,218,130,2006.0,03/2016,6107,-32.01255367,115.9493774
1 Clearwater Way,Singleton,320000,4,2,2.0,550,185,2006.0,06/2020,6175,-32.43563932,115.7585468
1 Clifford Loop,Darch,492000,3,2,2.0,289,122,2008.0,04/2016,6065,-31.81702,115.84811
1 Cliverton Court,Marmion,974000,5,2,2.0,766,290,1990.0,02/2013,6020,-31.84584,115.75809
1 Clovertree Street,Maddington,435000,4,2,5.0,1062,177,1988.0,09/2017,6109,-32.0541,116.0043
1 Cobea Court,Mount Claremont,900000,3,2,2.0,367,160,1995.0,06/2017,6010,-31.9669,115.78778
1 Cockman Road,Greenwood,405000,3,1,3.0,698,110,1975.0,08/2018,6024,-31.8335,115.81362
1 Cohen Place,Beechboro,290000,3,1,1.0,782,111,1978.0,12/2018,6063,-31.87535346,115.9536986
1 Collier Street,Wembley,1160000,2,2,1.0,635,201,1950.0,12/2019,6014,-31.92994,115.81815
1 Colmworth Way,Butler,415000,3,2,2.0,555,159,2004.0,11/2019,6036,-31.64758777,115.710316
1 Colonial Mews,Edgewater,525000,4,2,1.0,758,125,1984.0,10/2017,6027,-31.76607,115.77891
1 Conical Way,Harrisdale,629000,4,2,3.0,578,229,2012.0,09/2017,6112,-32.11590661,115.9300609
1 Convallis Vista,The Vines,600000,4,2,2.0,510,217,2007.0,11/2020,6069,-31.76277307,116.0041591
1 Corbin Gate,Madeley,427000,3,2,2.0,618,134,2005.0,03/2020,6065,-31.808107,115.82654
1 Coronado Ridge,Iluka,1015000,5,3,2.0,911,309,1995.0,02/2017,6028,-31.74341,115.73399
1 Corvette Close,Waikiki,445000,4,2,2.0,747,210,1991.0,11/2019,6169,-32.32226,115.748
1 Craigie Place,Mundaring,610000,4,2,3.0,1869,167,1985.0,12/2018,6073,-31.90413,116.16174
1 Crest Grove,Ballajura,465000,4,2,2.0,803,173,1988.0,08/2019,6066,-31.83561,115.88917
1 Creswick Cross,Kiara,454000,4,2,2.0,545,160,1993.0,09/2009,6054,-31.88155,115.93723
1 Criollo Place,Stratton,380000,3,2,1.0,514,131,2000.0,10/2014,6056,-31.8666182,116.0474837
1 Crivelli Parkway,Ashby,382000,4,2,2.0,401,186,2005.0,06/2020,6065,-31.73266376,115.8005439
1 Crowley Vista,Salter Point,1150000,4,2,2.0,527,209,2001.0,01/2014,6152,-32.01888,115.86017
1 Curruthers Road,Mount Pleasant,2200000,2,1,2.0,1100,497,1958.0,12/2018,6153,-32.035946,115.853523
1 Cypress Mews,Warnbro,375000,4,2,4.0,580,140,2006.0,09/2018,6169,-32.3275827,115.7565963
1 Dagostino Road,Byford,495000,4,2,2.0,694,246,2010.0,11/2020,6122,-32.22239608,115.9921401
1 Dalkey Way,Darch,445000,3,2,2.0,327,171,2008.0,09/2016,6065,-31.81004895,115.84418
1 Danzil Street,Willagee,515000,4,2,1.0,450,150,2002.0,07/2019,6156,-32.05243282,115.7976803
1 Datchet Turn,Bertram,270000,3,2,2.0,271,109,2011.0,08/2020,6167,-32.23789039,115.8423672
1 David Street,Mullaloo,780000,5,2,2.0,810,180,1977.0,04/2018,6027,-31.7818,115.73812
1 Davis Court,Woodlands,1280000,4,3,4.0,701,264,1980.0,08/2017,6018,-31.90617,115.79711
1 Daybreak Loop,Wellard,410000,4,2,2.0,465,206,2015.0,03/2018,6170,-32.26332378,115.8554732
1 Dean Place,Lockridge,425000,4,2,1.0,666,143,1983.0,01/2014,6054,-31.87775,115.94532
1 Dean Road,Bateman,599900,3,1,,807,126,1968.0,11/2017,6150,-32.0464,115.84477
1 Delphi Court,Rossmoyne,1330000,3,2,2.0,1133,135,1974.0,02/2014,6148,-32.03477,115.87024
1 Denton Street,Wembley,732000,3,1,2.0,328,145,1990.0,03/2019,6014,-31.94173236,115.8166999
1 Dermer Road,Beaconsfield,530000,3,2,2.0,1319,133,,12/2017,6162,-32.07189,115.7687
1 Deverell Way,Bentley,465000,3,2,3.0,327,136,2012.0,01/2019,6102,-32.01167461,115.9076728
1 Dilkera Place,Quinns Rocks,380000,3,2,2.0,646,168,1995.0,01/2020,6030,-31.66609,115.70398
1 Dirk Hartog Road,Bull Creek,572000,3,1,2.0,483,115,,08/2017,6149,-32.05966708,115.8569943
1 Discovery Circuit,Iluka,1300000,5,3,4.0,770,350,2002.0,03/2018,6028,-31.74151,115.72522
1 Disney Street,Brentwood,710250,4,2,2.0,434,139,1990.0,05/2016,6153,-32.0424445,115.8455803
1 Dolomite Road,Carine,835000,5,2,2.0,755,197,1986.0,02/2018,6020,-31.85258,115.77079
1 Dolphin Way,Beldon,400000,3,1,,683,86,1978.0,12/2016,6027,-31.77175,115.7563
1 Doradeen Close,Hillman,275000,3,1,1.0,761,94,1988.0,07/2015,6168,-32.28643,115.76432
1 Doram Court,Swan View,335000,3,1,,686,133,1985.0,02/2017,6056,-31.87503,116.04677
1 Driftwood Way,Bennett Springs,400000,4,2,2.0,582,153,2001.0,01/2017,6063,-31.85716057,115.9486519
1 Driver Road,Darch,532000,4,2,2.0,653,191,2004.0,08/2016,6065,-31.81305,115.84892
1 Dunbar Road,Claremont,1700000,3,2,4.0,613,125,,12/2020,6010,-31.98391,115.78789
1 Durant Way,Brentwood,820000,3,2,2.0,419,162,2006.0,09/2015,6153,-32.04516488,115.8514316
1 Dutton Way,Singleton,385000,3,1,,913,112,1983.0,01/2016,6175,-32.45159,115.75533
1 Duxford Street,Butler,427000,4,2,4.0,673,153,2002.0,11/2018,6036,-31.64941,115.69968
1 East Street,Mount Hawthorn,660000,2,2,2.0,376,100,1962.0,07/2019,6016,-31.92477,115.83006
1 Eastfield Court,Ferndale,250000,3,1,1.0,955,396,2017.0,07/2016,6148,-32.03099,115.9353606
1 Easton Court,Boya,508000,4,2,2.0,1010,157,1993.0,05/2015,6056,-31.91901559,116.0521097
1 Edelweiss Way,Beckenham,415000,4,2,2.0,538,115,1994.0,09/2018,6107,-32.02013901,115.9617687
1 Edgecombe Pass,Aveley,550000,4,3,3.0,741,254,2008.0,05/2019,6069,-31.79128655,115.9853567
1 El Porto Way,Iluka,935000,4,2,2.0,623,280,2007.0,02/2020,6028,-31.73064,115.7305
1 Elfin Grove,Warnbro,380000,3,2,3.0,759,179,1994.0,03/2018,6169,-32.33945,115.76287
1 Elvire Street,Midland,349000,2,1,,927,106,1930.0,01/2018,6056,-31.88588,116.00078
1 Empress Crescent,Atwell,470000,4,2,2.0,701,168,1998.0,03/2019,6164,-32.12896,115.8641
1 Epping Court,High Wycombe,475000,4,2,2.0,500,197,2007.0,09/2020,6057,-31.933213,116.010305
1 Ericht Pass,Kinross,577500,4,2,2.0,674,161,,04/2019,6028,-31.71267,115.74442
1 Estevan Way,Ferndale,490000,4,2,5.0,700,79,1975.0,02/2018,6148,-32.03262,115.92794
1 Ethel Street,Guildford,715000,4,2,1.0,380,160,1900.0,02/2015,6055,-31.90087308,115.9671624
1 Etna Place,Rossmoyne,1100000,4,3,,520,240,2009.0,09/2014,6148,-32.03299881,115.8710379
1 Eudora Way,North Coogee,1130000,4,2,2.0,495,241,2009.0,10/2017,6163,-32.10580379,115.7663769
1 Facey Road,Gnangara,340000,4,1,,40864,180,1978.0,12/1998,6077,-31.76939,115.87276
1 Fairetha Court,Ascot,720000,4,3,2.0,528,189,1997.0,09/2014,6104,-31.92723,115.94662
1 Fairhaven Terrace,Hillarys,1075000,4,2,,451,282,2003.0,02/2019,6025,-31.8026285,115.7335301
1 Fallow Crescent,Spearwood,475000,4,2,2.0,427,142,1994.0,01/2019,6163,-32.11469111,115.7777208
1 Fantail Drive,Bibra Lake,545000,4,2,2.0,735,170,1984.0,02/2017,6163,-32.10444,115.828
1 Farrington Street,Warnbro,317500,4,2,2.0,872,153,1965.0,03/2018,6169,-32.33509,115.75024
1 Federal Street,Osborne Park,465000,3,2,2.0,337,117,2002.0,07/2020,6017,-31.89819732,115.8259776
1 Felpham Court,Success,449000,4,2,2.0,502,185,2004.0,08/2020,6164,-32.13581424,115.8464459
1 Ferguson Road,Karragullen,150000,4,2,,16392,160,1980.0,06/1995,6111,-32.09728005,116.1008255
1 Ficarra Way,Sinagra,450000,4,2,2.0,588,160,,05/2018,6065,-31.73905,115.80411
1 First Avenue,Woodbridge,525000,3,1,2.0,607,94,1969.0,11/2007,6056,-31.89071,115.99245
1 Fischer Road,Darlington,900000,4,3,3.0,2152,260,1982.0,08/2017,6070,-31.90745,116.08066
1 Flello Rise,Bedfordale,950000,4,3,3.0,3102,287,2009.0,12/2014,6112,-32.15915736,116.0580013
1 Flemington Way,Redcliffe,375000,3,2,,428,144,2000.0,09/2020,6104,-31.94468218,115.9462251
1 Flint Close,Pearsall,522000,4,2,2.0,641,222,2002.0,02/2019,6065,-31.7776903,115.815662
1 Florey Place,Huntingdale,464000,4,1,4.0,700,182,1986.0,07/2016,6110,-32.0806105,115.972457
1 Floribunda Gate,Dayton,550000,4,2,2.0,414,190,,01/2016,6055,-31.85877749,115.9732655
1 Forrest Court,Kiara,490000,4,2,2.0,720,166,1989.0,10/2008,6054,-31.88619,115.93636
1 Fort Street,Morley,560000,2,1,,605,185,2006.0,05/2020,6062,-31.90743,115.89934
1 Fortuna View,Iluka,1160000,4,2,3.0,696,329,2010.0,07/2019,6028,-31.73934726,115.7245862
1 Fortune Street,Balcatta,460000,3,2,2.0,322,109,1997.0,07/2018,6021,-31.88513,115.82445
1 Fourth Avenue,Rossmoyne,872000,4,2,2.0,1029,147,1989.0,01/2014,6148,-32.0356484,115.8700915
1 Fran Court,Merriwa,335000,3,2,2.0,653,168,2002.0,04/2017,6030,-31.67332,115.71274
1 Frederic Street,Koongamia,83000,2,1,2.0,935,100,1959.0,06/1998,6056,-31.90971373,116.0383163
1 Freedman Road,Menora,925000,4,2,4.0,792,237,1969.0,01/2018,6050,-31.9174949,115.8627879
1 Gaffin Way,Kwinana Town Centre,330000,3,2,2.0,203,108,2015.0,11/2015,6167,-32.24220021,115.8152219
1 Gali Lane,City Beach,1930000,4,3,2.0,440,307,2012.0,04/2016,6015,-31.92904792,115.770024
1 Galilee Way,Baldivis,547000,3,2,2.0,749,259,2009.0,07/2020,6171,-32.34096334,115.8181808
1 Gamay Court,The Vines,533000,4,2,,734,243,2001.0,09/2017,6069,-31.75328,116.00534
1 Gannett Street,Bateman,460000,2,1,1.0,807,76,1969.0,07/2019,6150,-32.04687661,115.8473517
1 Genesta Place,Two Rocks,405000,4,2,2.0,819,139,1986.0,01/2016,6037,-31.49278,115.58896
1 Georges Close,Kallaroo,1075000,4,2,3.0,773,330,1989.0,08/2016,6025,-31.79391,115.74608
1 Gerygone Pass,Tapping,465000,3,2,2.0,420,185,2007.0,08/2017,6065,-31.72047938,115.7877351
1 Ghost Gum Boulevard,Banksia Grove,335000,4,2,2.0,373,116,2004.0,08/2017,6031,-31.69797849,115.8022078
1 Gianatti Ramble,East Cannington,745000,4,2,2.0,462,337,2008.0,08/2016,6107,-32.0131973,115.9599173
1 Gidgee Cove,Kenwick,385000,3,2,2.0,416,141,2015.0,05/2018,6107,-32.03440647,115.9855347
1 Gilchrist Avenue,Bibra Lake,480000,3,1,2.0,700,102,1980.0,08/2016,6163,-32.08615,115.84273
1 Gillespie Court,Lockridge,330000,3,1,5.0,351,100,2000.0,09/2015,6054,-31.88684,115.94766
1 Gillon Road,Noranda,520000,4,2,,752,214,1990.0,11/2016,6062,-31.87758,115.90971
1 Giudice Way,Yangebup,885000,4,2,2.0,641,255,2009.0,11/2020,6164,-32.12598858,115.8084681
1 Glasson Way,Darch,610000,4,2,2.0,596,247,2007.0,08/2016,6065,-31.80600361,115.8399203
1 Glebe Close,Mindarie,830000,4,2,2.0,726,266,2001.0,01/2018,6030,-31.68433,115.71265
1 Glenelg Street,Mount Hawthorn,825000,4,2,2.0,325,144,,02/2018,6016,-31.92631,115.83128
1 Gloucester Road,Kalamunda,485000,4,2,1.0,997,179,1970.0,07/2018,6076,-31.9862,116.06309
1 Gloucester Street,Swanbourne,980000,4,2,3.0,500,180,,05/2017,6010,-31.97448929,115.7713637
1 Gold Lane,Iluka,769000,5,2,2.0,638,323,2005.0,06/2017,6028,-31.73051,115.73091
1 Goldsmith Drive,Wellard,900000,4,2,5.0,2929,346,1998.0,12/2018,6170,-32.26368,115.82987
1 Gordon Place,Huntingdale,410000,3,2,1.0,675,143,1985.0,05/2016,6110,-32.076494,115.9698639
1 Gorman Place,Calista,475000,4,2,2.0,559,201,2006.0,12/2015,6167,-32.247079,115.805396
1 Graduate Place,Marangaroo,385000,4,2,1.0,613,132,1993.0,07/2019,6064,-31.82507,115.84667
1 Grahame Street,Mount Helena,385000,4,1,2.0,1635,134,1975.0,05/2019,6082,-31.86844,116.21402
1 Grancey Avenue,Mundaring,650000,2,1,,3675,231,2005.0,02/2020,6073,-31.90044,116.15701
1 Grant Street,Duncraig,730000,5,2,2.0,576,183,2012.0,02/2020,6023,-31.82993213,115.7682169
1 Gray Road,Gooseberry Hill,560000,5,3,2.0,2646,270,1990.0,05/2016,6076,-31.95903077,116.0355405
1 Gray Road,Haynes,720000,4,2,2.0,2000,232,1993.0,01/2013,6112,-32.14771648,115.9833416
1 Green Street,Kewdale,505000,3,1,2.0,688,132,1986.0,05/2017,6105,-31.98095493,115.9380797
1 Greygum Rise,Kenwick,362500,5,2,1.0,515,153,1998.0,07/2019,6107,-32.03717,115.98572
1 Grid Court,Beldon,487000,3,1,2.0,685,124,1983.0,02/2017,6027,-31.7725,115.76202
1 Grimsay Road,Ardross,600000,3,1,3.0,380,95,1970.0,08/2016,6153,-32.02469,115.83702
1 Grove End Ridge,Mount Claremont,1675000,4,3,2.0,1055,299,2000.0,10/2017,6010,-31.96425,115.78209
1 Grove Street,Shoalwater,315000,3,1,1.0,825,109,1980.0,09/2017,6169,-32.29130126,115.7122419
1 Guy Place,Melville,990000,3,2,3.0,873,156,,09/2019,6156,-32.03713,115.80538
1 Hadlow Court,Leeming,428000,4,3,4.0,803,204,1980.0,11/2018,6149,-32.07296442,115.8655018
1 Halleendale Road,Walliston,620000,4,2,,1386,244,1995.0,10/2007,6076,-32.00122,116.06845
1 Hamlyn Glen,Kiara,405000,3,1,3.0,975,126,1993.0,07/2012,6054,-31.88204218,115.9341911
1 Hanrahan Loop,Kardinya,643000,4,2,2.0,701,188,1982.0,10/2018,6163,-32.06888,115.80488
1 Hansen Vista,Landsdale,538000,5,2,2.0,556,212,2006.0,07/2019,6065,-31.81228,115.86481
1 Hardey Road,Serpentine,375000,4,2,4.0,2000,127,1995.0,09/2014,6125,-32.36876,115.97618
1 Harrier Way,Beldon,395000,3,1,1.0,461,130,1985.0,11/2017,6027,-31.77517826,115.774014
1 Hartle Lane,Brookdale,311850,4,2,2.0,471,154,2014.0,10/2013,6112,-32.17006445,116.0063044
1 Hartley Street,Coolbellup,499000,4,2,2.0,613,230,1969.0,03/2017,6163,-32.07800737,115.7947337
1 Hartwell Parade,Jandakot,620000,4,2,2.0,815,228,2002.0,02/2019,6164,-32.10808521,115.8555693
1 Harwood Pass,Darling Downs,660000,5,3,2.0,4297,269,2004.0,07/2018,6122,-32.19289143,116.0120665
1 Harwood Street,Hilton,560003,3,2,2.0,537,175,1953.0,08/2016,6163,-32.06521332,115.7843712
1 Hazlett Close,South Lake,481000,4,2,1.0,703,123,1985.0,07/2016,6164,-32.10647,115.83728
1 Hebb Court,Parkerville,635000,3,1,6.0,20070,160,2001.0,06/2016,6081,-31.873898,116.1557516
1 Henderson Road,Stoneville,430000,3,1,2.0,2190,120,,04/2013,6081,-31.88207,116.17109
1 Hennessy Drive,Ashby,430000,4,2,2.0,570,187,2005.0,07/2020,6065,-31.73327888,115.797917
1 Henrietta Court,Coogee,727000,4,2,2.0,691,245,1998.0,09/2015,6166,-32.12453,115.77293
1 Henty Court,Mirrabooka,450000,4,1,1.0,723,187,1985.0,04/2015,6061,-31.85539218,115.8610425
1 Herbert Road,Subiaco,910000,2,1,1.0,241,120,,07/2018,6008,-31.95496368,115.8103043
1 Heslop Road,Lesmurdie,705000,5,2,3.0,1000,223,2000.0,04/2018,6076,-31.99545,116.05911
1 Hewlett Turn,Tapping,470000,4,2,2.0,594,250,2002.0,07/2018,6065,-31.71751458,115.7986454
1 Hillcrest Drive,Darlington,474000,3,2,3.0,2851,240,1974.0,01/2018,6070,-31.92197,116.08688
1 Hilliger Turn,Jane Brook,515000,4,2,2.0,430,168,2015.0,02/2016,6056,-31.85965981,116.056712
1 Hilltop Close,Mahogany Creek,272500,3,1,2.0,1799,140,1987.0,01/2005,6072,-31.90108,116.14282
1 Hilltop Place,Edgewater,492500,4,2,,736,197,1987.0,12/2017,6027,-31.76698,115.78496
1 Hillwater Promenade,Bennett Springs,565000,4,2,2.0,631,209,,05/2015,6063,-31.8612434,115.9386062
1 Hitek Court,Merriwa,280000,4,2,2.0,599,105,1990.0,11/2020,6030,-31.67284,115.71496
1 Holmesdale Road,Woodbridge,575000,3,1,2.0,510,112,1935.0,10/2016,6056,-31.89292,115.99591
1 Holywell Street,Middle Swan,495000,4,3,2.0,500,180,2012.0,01/2013,6056,-31.87473097,116.0125088
1 Honister Close,Balga,290000,4,1,2.0,714,132,1984.0,08/2019,6061,-31.8534138,115.8397022
1 Hood Street,Forrestfield,365000,3,1,2.0,700,120,1984.0,09/2020,6058,-31.99944892,116.012145
